Link;Preco;Endereco;Tipo;Area
https://www.chavesnamao.com.br/imovel/apartamento-a-venda-2-quartos-com-garagem-pi-teresina-morada-do-sol-46m2-RS145000/id-11697644/;R$ 145.000;Rua Leôncio Ferraz, Morada Do Sol, Teresina/PI;apartamento;46m² / 46m²
https://www.chavesnamao.com.br/imovel/apartamento-a-venda-2-quartos-com-garagem-pi-teresina-morada-do-sol-46m2-RS150000/id-21422584/;R$ 150.000;Rua Leôncio Ferraz, Morada Do Sol, Teresina/PI;apartamento;46m² / 46m²
https://www.chavesnamao.com.br/imovel/apartamento-a-venda-2-quartos-com-garagem-pi-teresina-morada-do-sol-46m2-RS170000/id-28366451/;R$ 170.000;Rua Leôncio Ferraz, Morada Do Sol, Teresina/PI;apartamento;46m² / 46m²
https://www.chavesnamao.com.br/imovel/apartamento-a-venda-2-quartos-com-garagem-pi-teresina-morada-do-sol-67m2-RS550000/id-29110667/;R$ 550.000;R. Bonifácio De Abreu, 3604, Morada Do Sol, Teresina/PI;apartamento;67m² / 67m²
https://www.chavesnamao.com.br/imovel/apartamento-a-venda-2-quartos-com-garagem-pi-teresina-noivos-57m2-RS385000/id-3464957/;R$ 385.000;Rua Barão De Uruçuí, Noivos, Teresina/PI;apartamento;57m² / 57m²
https://www.chavesnamao.com.br/imovel/apartamento-a-venda-2-quartos-com-garagem-pi-teresina-noivos-57m2-RS391146/id-3526530/;R$ 391.146;Rua Barão De Uruçuí, Noivos, Teresina/PI;apartamento;57m² / 57m²
https://www.chavesnamao.com.br/imovel/apartamento-a-venda-2-quartos-com-garagem-pi-teresina-noivos-68m2-RS519900/id-27548133/;R$ 519.900;Avenida Noronha Almeida, Noivos, Teresina/PI;apartamento;68m² / 68m²
https://www.chavesnamao.com.br/imovel/apartamento-a-venda-2-quartos-com-garagem-pi-teresina-noivos-70m2-RS400000/id-28081175/;R$ 400.000;Rua Padre Cirilo Chaves, Noivos, Teresina/PI;apartamento;70m² / 70m²
https://www.chavesnamao.com.br/imovel/apartamento-a-venda-2-quartos-com-garagem-pi-teresina-noivos-70m2-RS400000/id-4881417/;R$ 400.000;Rua Padre Cirilo Chaves, Noivos, Teresina/PI;apartamento;70m² / 70m²
https://www.chavesnamao.com.br/imovel/apartamento-a-venda-2-quartos-com-garagem-pi-teresina-noivos-RS285000/id-25672963/;R$ 285.000;Rua Francisco Falcão Costa, 1534, Noivos, Teresina/PI;apartamento;69m²
